Date,Description,Type,Amount,Current balance,Status
2025-12-31,Interest earned,INTEREST_EARNED,0.3,150.3,Posted
2025-12-31,To Savings - 7641,WITHDRAWAL,-337.74,150,Posted
2025-12-30,BBY TECHNOLOGY S,DIRECT_DEPOSIT,100,487.74,Posted
2025-12-30,VENMO,DEPOSIT,282.74,387.74,Posted
2025-12-24,Check Paid,CHECK,-1783.15,105,Posted
2025-12-24,VENMO,DIRECT_PAY,-35,1888.15,Posted
2025-12-19,VENMO,DIRECT_PAY,-130,1923.15,Posted
2025-12-17,BBY TECHNOLOGY S,DIRECT_DEPOSIT,100,2053.15,Posted
2025-12-15,From Savings - 7641,DEPOSIT,1783.15,1953.15,Posted
2025-12-15,VENMO,DIRECT_PAY,-30,170,Posted
2025-12-03,To Savings - 7641,WITHDRAWAL,-294.33,200,Posted
2025-12-03,BBY TECHNOLOGY S,DIRECT_DEPOSIT,100,494.33,Posted
2025-12-01,VENMO,DIRECT_PAY,-57,394.33,Posted
2025-11-30,Interest earned,INTEREST_EARNED,0.21,451.33,Posted
2025-11-25,NORTHERN TOOL &,DIRECT_DEPOSIT,350,451.12,Posted
2025-11-20,XCEL ENERGY-MN,DIRECT_PAY,-252.88,101.12,Posted
2025-11-18,From Savings - 7641,DEPOSIT,200.00,354,Posted
2025-11-17,VENMO,DIRECT_PAY,-146,154,Posted
2025-11-14,From Savings - 7641,DEPOSIT,200,300,Posted
2025-11-12,To Savings - 7641,WITHDRAWAL,-346.18,100,Posted
2025-11-12,NORTHERN TOOL &,DIRECT_DEPOSIT,350,446.18,Posted
2025-11-12,Check Paid,CHECK,-2147.44,96.18,Posted
2025-11-12,VENMO,DIRECT_PAY,-122,2243.62,Posted
2025-11-11,From Savings - 7641,DEPOSIT,120,2365.62,Posted
2025-11-10,From Savings - 7641,DEPOSIT,1600,2245.62,Posted
2025-10-31,Interest earned,INTEREST_EARNED,0.22,645.62,Posted
2025-10-29,NORTHERN TOOL &,DIRECT_DEPOSIT,350,645.4,Posted
2025-10-27,VENMO,DIRECT_PAY,-45,295.4,Posted
2025-10-17,WALGREENS #0-W77,ATM,-300.00,340.4,Posted
2025-10-17,WALGREENS #0-W77,ATM,-300.00,640.4,Posted
2025-10-15,NORTHERN TOOL &,DIRECT_DEPOSIT,350,940.4,Posted
2025-10-01,NORTHERN TOOL &,DIRECT_DEPOSIT,350,590.4,Posted
2025-09-30,Interest earned,INTEREST_EARNED,0.44,240.4,Posted
2025-09-20,To Savings - 7641,WITHDRAWAL,-1700,239.96,Posted
2025-09-17,NORTHERN TOOL &,DIRECT_DEPOSIT,350,1939.96,Posted
2025-09-03,NORTHERN TOOL &,DIRECT_DEPOSIT,350,1589.96,Posted
2025-09-03,VENMO,DEPOSIT,675.5,1239.96,Posted
2025-08-31,Interest earned,INTEREST_EARNED,0.29,564.46,Posted
2025-08-20,NORTHERN TOOL &,DIRECT_DEPOSIT,350,564.17,Posted
2025-08-18,To Savings - 7641,WITHDRAWAL,-1500,214.17,Posted
2025-08-15,From Savings - 7641,DEPOSIT,500,1714.17,Posted
2025-08-15,From Savings - 7641,DEPOSIT,1100,1214.17,Posted
2025-08-11,VENMO,DIRECT_PAY,-1172,114.17,Posted
2025-08-08,WALGREENS #2-WG5,ATM,-100.00,1286.17,Posted
2025-08-08,From Savings - 7641,DEPOSIT,500,1386.17,Posted
2025-08-06,NORTHERN TOOL &,DIRECT_DEPOSIT,350,886.17,Posted
2025-07-31,Interest earned,INTEREST_EARNED,0.29,536.17,Posted
2025-07-23,NORTHERN TOOL &,DIRECT_DEPOSIT,350,535.88,Posted
2025-07-22,To Savings - 7641,WITHDRAWAL,-1200,185.88,Posted
2025-07-15,VENMO,DIRECT_PAY,-2400,1385.88,Posted
2025-07-14,From Savings - 7641,DEPOSIT,3600,3785.88,Posted
2025-07-11,1250000001,ATM,-209.30,185.88,Posted
2025-07-09,NORTHERN TOOL &,DIRECT_DEPOSIT,350,395.18,Posted
2025-07-09,WALGREENS #1-WE1,ATM,-120.00,45.18,Posted
2025-07-02,VENMO,DIRECT_PAY,-100,165.18,Posted
2025-06-30,Interest earned,INTEREST_EARNED,0.18,265.18,Posted
2025-06-27,VENMO,DIRECT_PAY,-35,265,Posted
2025-06-26,WALGREENS #1-WE1,ATM,-200.00,300,Posted
2025-06-25,NORTHERN TOOL &,DIRECT_DEPOSIT,350,500,Posted
2025-06-20,VENMO,DIRECT_PAY,-50,150,Posted
2025-06-16,To Savings - 7641,WITHDRAWAL,-665.84,200,Posted
2025-06-11,NORTHERN TOOL &,DIRECT_DEPOSIT,350,865.84,Posted
2025-06-06,VENMO,DIRECT_PAY,-92,515.84,Posted
2025-05-31,Interest earned,INTEREST_EARNED,0.12,607.84,Posted
2025-05-28,NORTHERN TOOL &,DIRECT_DEPOSIT,350,607.72,Posted
2025-05-28,CASTELL DE MONTJUIC,DEBIT_CARD,-27.46,257.72,Posted
2025-05-23,VENMO,DIRECT_PAY,-130,285.18,Posted
2025-05-14,NORTHERN TOOL &,DIRECT_DEPOSIT,350,415.18,Posted
2025-05-05,VENMO,DIRECT_PAY,-35,65.18,Posted
2025-04-30,Interest earned,INTEREST_EARNED,0.18,100.18,Posted
2025-04-30,To Savings - 7641,WITHDRAWAL,-871.17,100,Posted
2025-04-30,NORTHERN TOOL &,DIRECT_DEPOSIT,350,971.17,Posted
2025-04-16,NORTHERN TOOL &,DIRECT_DEPOSIT,350,621.17,Posted
2025-04-08,VENMO,DIRECT_PAY,-109,271.17,Posted
2025-04-02,NORTHERN TOOL &,DIRECT_DEPOSIT,350,380.17,Posted
2025-04-01,WALGREENS #1-WE1,ATM,-200.00,30.17,Posted
2025-04-01,WALGREENS #1-WE1,ATM,-300.00,230.17,Posted
2025-03-31,Interest earned,INTEREST_EARNED,0.17,530.17,Posted
2025-03-20,VENMO,DIRECT_PAY,-20,530,Posted
2025-03-19,NORTHERN TOOL &,DIRECT_DEPOSIT,350,550,Posted
2025-03-05,To Savings - 7641,WITHDRAWAL,-871.49,200,Posted
2025-03-05,NORTHERN TOOL &,DIRECT_DEPOSIT,350,1071.49,Posted
2025-02-28,Interest earned,INTEREST_EARNED,0.18,721.49,Posted
2025-02-19,NORTHERN TOOL &,DIRECT_DEPOSIT,350,721.31,Posted
2025-02-18,VENMO,DIRECT_PAY,-28,371.31,Posted
2025-02-13,VENMO,DIRECT_PAY,-12.78,399.31,Posted
2025-02-06,VENMO,DIRECT_PAY,-15,412.09,Posted
2025-02-05,NORTHERN TOOL &,DIRECT_DEPOSIT,350,427.09,Posted
2025-02-04,VENMO,DIRECT_PAY,-86,77.09,Posted
2025-01-31,Interest earned,INTEREST_EARNED,0.09,163.09,Posted
2025-01-30,VENMO,DIRECT_PAY,-137,163,Posted
2025-01-29,From Savings - 7641,DEPOSIT,200,300,Posted
2025-01-22,To Savings - 7641,WITHDRAWAL,-1001.33,100,Posted
2025-01-22,NORTHERN TOOL &,DIRECT_DEPOSIT,350,1101.33,Posted
2025-01-21,VENMO,DEPOSIT,701.33,751.33,Posted
2025-01-08,To Savings - 7641,WITHDRAWAL,-850.27,50,Posted
2025-01-08,NORTHERN TOOL &,DIRECT_DEPOSIT,350,900.27,Posted
