Date,Description,Type,Amount,Current balance,Status
2025-12-31,Interest earned,INTEREST_EARNED,146.28,53760.86,Posted
2025-12-31,From Checking - 6534,DEPOSIT,337.74,53614.58,Posted
2025-12-30,BBY TECHNOLOGY S,DIRECT_DEPOSIT,2653.09,53276.84,Posted
2025-12-22,DEPT EDUCATION,DIRECT_PAY,-500,50623.75,Posted
2025-12-18,TD BANK,DIRECT_PAY,-191,51123.75,Posted
2025-12-18,TEE TIMES ACQUIS,DIRECT_PAY,-876.15,51314.75,Posted
2025-12-17,BBY TECHNOLOGY S,DIRECT_DEPOSIT,5958.87,52190.9,Posted
2025-12-17,XCEL ENERGY-MN,DIRECT_PAY,-81.9,46232.03,Posted
2025-12-15,To Checking - 6534,WITHDRAWAL,-1783.15,46313.93,Posted
2025-12-09,CAPITAL ONE,DIRECT_PAY,-1933.94,48097.08,Posted
2025-12-04,SouthPoint FCU,DIRECT_PAY,-374.05,50031.02,Posted
2025-12-03,From Checking - 6534,DEPOSIT,294.33,50405.07,Posted
2025-12-03,BBY TECHNOLOGY S,DIRECT_DEPOSIT,2655.63,50110.74,Posted
2025-12-02,FID BKG SVC LLC,DIRECT_PAY,-100,47455.11,Posted
2025-12-01,NoLo Living,DIRECT_PAY,-1246.5,47555.11,Posted
2025-11-30,Interest earned,INTEREST_EARNED,141.29,48801.61,Posted
2025-11-25,NORTHERN TOOL &,DIRECT_DEPOSIT,2356.52,48660.32,Posted
2025-11-20,DEPT EDUCATION,DIRECT_PAY,-500,46303.8,Posted
2025-11-18,To Checking - 6534,WITHDRAWAL,-200.00,46803.8,Posted
2025-11-18,TD BANK,DIRECT_PAY,-198,47003.8,Posted
2025-11-17,CPENERGY MNGCO,DIRECT_PAY,-28.53,47201.8,Posted
2025-11-17,CPENERGY MNGCO,DIRECT_PAY,-15.19,47230.33,Posted
2025-11-14,To Checking - 6534,WITHDRAWAL,-200,47245.52,Posted
2025-11-12,From Checking - 6534,DEPOSIT,346.18,47445.52,Posted
2025-11-12,NORTHERN TOOL &,DIRECT_DEPOSIT,2356.51,47099.34,Posted
2025-11-11,To Checking - 6534,WITHDRAWAL,-120,44742.83,Posted
2025-11-10,To Checking - 6534,WITHDRAWAL,-1600,44862.83,Posted
2025-11-09,CAPITAL ONE,DIRECT_PAY,-1835.96,46462.83,Posted
2025-11-04,SouthPoint FCU,DIRECT_PAY,-374.05,48298.79,Posted
2025-11-04,FID BKG SVC LLC,DIRECT_PAY,-100,48672.84,Posted
2025-11-03,NoLo Living,DIRECT_PAY,-1246.5,48772.84,Posted
2025-10-31,Interest earned,INTEREST_EARNED,152.47,50019.34,Posted
2025-10-29,NORTHERN TOOL &,DIRECT_DEPOSIT,2356.53,49866.87,Posted
2025-10-27,XCEL ENERGY-MN,DIRECT_PAY,-4.22,47510.34,Posted
2025-10-23,XCEL ENERGY-MN,DIRECT_PAY,-46.9,47514.56,Posted
2025-10-21,DEPT EDUCATION,DIRECT_PAY,-500,47561.46,Posted
2025-10-20,TD BANK,DIRECT_PAY,-205,48061.46,Posted
2025-10-20,CPENERGY MNGCO,DIRECT_PAY,-15.19,48266.46,Posted
2025-10-15,NORTHERN TOOL &,DIRECT_DEPOSIT,2356.35,48281.65,Posted
2025-10-09,CAPITAL ONE,DIRECT_PAY,-3160.4,45925.3,Posted
2025-10-06,SouthPoint FCU,DIRECT_PAY,-374.05,49085.7,Posted
2025-10-02,FID BKG SVC LLC,DIRECT_PAY,-500,49459.75,Posted
2025-10-01,NORTHERN TOOL &,DIRECT_DEPOSIT,2356.52,49959.75,Posted
2025-10-01,NoLo Living,DIRECT_PAY,-1246.5,47603.23,Posted
2025-09-30,Interest earned,INTEREST_EARNED,147.64,48849.73,Posted
2025-09-25,NoLo Living,DIRECT_PAY,-500,48702.09,Posted
2025-09-24,XCEL ENERGY-MN,DIRECT_PAY,-110.24,49202.09,Posted
2025-09-22,DEPT EDUCATION,DIRECT_PAY,-500,49312.33,Posted
2025-09-20,From Checking - 6534,DEPOSIT,1700,49812.33,Posted
2025-09-18,TD BANK,DIRECT_PAY,-213,48112.33,Posted
2025-09-17,NORTHERN TOOL &,DIRECT_DEPOSIT,2356.67,48325.33,Posted
2025-09-17,CPENERGY MNGCO,DIRECT_PAY,-16.52,45968.66,Posted
2025-09-09,CAPITAL ONE,DIRECT_PAY,-2936.55,45985.18,Posted
2025-09-04,SouthPoint FCU,DIRECT_PAY,-374.05,48921.73,Posted
2025-09-03,NORTHERN TOOL &,DIRECT_DEPOSIT,2023.86,49295.78,Posted
2025-09-03,FID BKG SVC LLC,DIRECT_PAY,-500,47271.92,Posted
2025-09-02,WHITECAPMANAGEME,DIRECT_PAY,-1110,47771.92,Posted
2025-08-31,Interest earned,INTEREST_EARNED,155.09,48881.92,Posted
2025-08-25,XCEL ENERGY-MN,DIRECT_PAY,-96.48,48726.83,Posted
2025-08-20,NORTHERN TOOL &,DIRECT_DEPOSIT,2023.85,48823.31,Posted
2025-08-20,DEPT EDUCATION,DIRECT_PAY,-500,46799.46,Posted
2025-08-19,TD BANK,DIRECT_PAY,-220,47299.46,Posted
2025-08-18,From Checking - 6534,DEPOSIT,1500,47519.46,Posted
2025-08-18,CPENERGY MNGCO,DIRECT_PAY,-16.52,46019.46,Posted
2025-08-15,To Checking - 6534,WITHDRAWAL,-500,46035.98,Posted
2025-08-15,To Checking - 6534,WITHDRAWAL,-1100,46535.98,Posted
2025-08-13,NoLo Living,DIRECT_PAY,-1328,47635.98,Posted
2025-08-10,CAPITAL ONE,DIRECT_PAY,-1688.25,48963.98,Posted
2025-08-08,To Checking - 6534,WITHDRAWAL,-500,50652.23,Posted
2025-08-06,NORTHERN TOOL &,DIRECT_DEPOSIT,2023.86,51152.23,Posted
2025-08-04,SouthPoint FCU,DIRECT_PAY,-374.05,49128.37,Posted
2025-08-04,WHITECAPMANAGEME,DIRECT_PAY,-1110,49502.42,Posted
2025-08-04,FID BKG SVC LLC,DIRECT_PAY,-500,50612.42,Posted
2025-07-31,Interest earned,INTEREST_EARNED,159.92,51112.42,Posted
2025-07-25,XCEL ENERGY-MN,DIRECT_PAY,-95.96,50952.5,Posted
2025-07-23,NORTHERN TOOL &,DIRECT_DEPOSIT,2023.86,51048.46,Posted
2025-07-23,DISCOVER,DIRECT_PAY,-64.38,49024.6,Posted
2025-07-22,From Checking - 6534,DEPOSIT,1200,49088.98,Posted
2025-07-18,TD BANK,DIRECT_PAY,-228,47888.98,Posted
2025-07-17,CPENERGY MNGCO,DIRECT_PAY,-16.52,48116.98,Posted
2025-07-14,To Checking - 6534,WITHDRAWAL,-3600,48133.5,Posted
2025-07-09,CAPITAL ONE,DIRECT_PAY,-1374.06,51733.5,Posted
2025-07-09,NORTHERN TOOL &,DIRECT_DEPOSIT,2023.86,53107.56,Posted
