Date,Description,Type,Amount,Current balance,Status
2025-12-31,Interest earned,INTEREST_EARNED,0.12,467.15,Posted
2025-12-29,Mobile Check Deposit,CHECK_DEPOSIT,100,467.03,Posted
2025-12-17,VENMO,DIRECT_PAY,-148,367.03,Posted
2025-12-14,VENMO,DEPOSIT,387.97,515.03,Posted
2025-11-30,Interest earned,INTEREST_EARNED,0.09,127.06,Posted
2025-11-17,VENMO,DIRECT_PAY,-146,126.97,Posted
2025-11-04,VENMO,DIRECT_PAY,-524,272.97,Posted
2025-11-03,From Savings - 7585,DEPOSIT,500,796.97,Posted
2025-10-31,Interest earned,INTEREST_EARNED,0.09,296.97,Posted
2025-10-20,Mobile Check Deposit,CHECK_DEPOSIT,202.5,296.88,Posted
2025-10-18,USPS.COM POSTAL STORE,DEBIT_CARD,-129.75,94.38,Posted
2025-10-15,From Savings - 7585,DEPOSIT,100,224.13,Posted
2025-10-06,VENMO,DIRECT_PAY,-174,124.13,Posted
2025-10-05,From Savings - 7585,DEPOSIT,200,298.13,Posted
2025-09-30,Interest earned,INTEREST_EARNED,0.04,98.13,Posted
2025-09-29,VENMO,DIRECT_PAY,-9.92,98.09,Posted
2025-08-31,Interest earned,INTEREST_EARNED,0.04,108.01,Posted
2025-08-20,VENMO,DIRECT_PAY,-70,107.97,Posted
2025-08-19,From Savings - 7585,DEPOSIT,150,177.97,Posted
2025-08-18,VENMO,DIRECT_PAY,-18,27.97,Posted
2025-08-18,VENMO,DIRECT_PAY,-103.38,45.97,Posted
2025-08-15,VENMO,DIRECT_PAY,-17.11,149.35,Posted
2025-08-14,From Savings - 7585,DEPOSIT,150,166.46,Posted
2025-08-14,VENMO,DIRECT_PAY,-20,16.46,Posted
2025-08-13,VENMO,DIRECT_PAY,-15,36.46,Posted
2025-07-31,Interest earned,INTEREST_EARNED,0.06,51.46,Posted
2025-07-25,BOKET IBERICO,DEBIT_CARD,-12.95,51.4,Posted
2025-07-16,VENMO,DIRECT_PAY,-60.13,64.35,Posted
2025-07-15,VENMO,DIRECT_PAY,-1200,124.48,Posted
