Date,Description,Type,Amount,Current balance,Status
2025-12-31,Interest earned,INTEREST_EARNED,288.4,99488.32,Posted
2025-12-23,MoM Brands Pay,DIRECT_DEPOSIT,2423.85,99199.92,Posted
2025-12-22,Parkade App,DIRECT_PAY,-185,96776.07,Posted
2025-12-21,CAPITAL ONE,DIRECT_PAY,-3387.21,96961.07,Posted
2025-12-10,MoM Brands Pay,DIRECT_DEPOSIT,2423.85,100348.28,Posted
2025-12-08,MoM Brands Pay,DIRECT_DEPOSIT,3953.94,97924.43,Posted
2025-12-08,Parkade App,DIRECT_PAY,-175,93970.49,Posted
2025-12-02,CONSERVICE,DIRECT_PAY,-71.58,94145.49,Posted
2025-12-01,NoLo Living,DIRECT_PAY,-1246.5,94217.07,Posted
2025-12-01,Parkade App,DIRECT_PAY,-19.97,95463.57,Posted
2025-11-30,Interest earned,INTEREST_EARNED,278.23,95483.54,Posted
2025-11-25,MoM Brands Pay,DIRECT_DEPOSIT,2369.16,95205.31,Posted
2025-11-21,Parkade App,DIRECT_PAY,-185,92836.15,Posted
2025-11-20,CAPITAL ONE,DIRECT_PAY,-1571.87,93021.15,Posted
2025-11-12,MoM Brands Pay,DIRECT_DEPOSIT,2369.17,94593.02,Posted
2025-11-07,Parkade App,DIRECT_PAY,-175,92223.85,Posted
2025-11-04,CONSERVICE,DIRECT_PAY,-69.15,92398.85,Posted
2025-11-03,To Checking - 2100,WITHDRAWAL,-500,92468,Posted
2025-11-03,NoLo Living,DIRECT_PAY,-1246.5,92968,Posted
2025-10-31,Interest earned,INTEREST_EARNED,294.49,94214.5,Posted
2025-10-29,MoM Brands Pay,DIRECT_DEPOSIT,2396.01,93920.01,Posted
2025-10-21,Parkade App,DIRECT_PAY,-185,91524,Posted
2025-10-20,CAPITAL ONE,DIRECT_PAY,-3257.08,91709,Posted
2025-10-15,To Checking - 2100,WITHDRAWAL,-100,94966.08,Posted
2025-10-15,MoM Brands Pay,DIRECT_DEPOSIT,2548.52,95066.08,Posted
2025-10-07,Parkade App,DIRECT_PAY,-175,92517.56,Posted
